method_label	feature	clean_feature	immune_class	target	rho	p	n	p_adj	abs_ifcore
ABIS	B_cells_quantiseq	B_cells	APC/myeloid	IF_core_4marker_score			0		
ABIS	B_cells_quantiseq	B_cells	APC/myeloid	mregDC_extended_score			0		
ABIS	B_cells_quantiseq	B_cells	APC/myeloid	TLS_like_score			0		
ABIS	B_cells_quantiseq	B_cells	APC/myeloid	Cytotoxic_score			0		
ABIS	B_cells_quantiseq	B_cells	APC/myeloid	Checkpoint_score			0		
ABIS	Macrophages_M1_quantiseq	Macrophages_M1	APC/myeloid	IF_core_4marker_score			0		
ABIS	Macrophages_M1_quantiseq	Macrophages_M1	APC/myeloid	mregDC_extended_score			0		
ABIS	Macrophages_M1_quantiseq	Macrophages_M1	APC/myeloid	TLS_like_score			0		
ABIS	Macrophages_M1_quantiseq	Macrophages_M1	APC/myeloid	Cytotoxic_score			0		
ABIS	Macrophages_M1_quantiseq	Macrophages_M1	APC/myeloid	Checkpoint_score			0		
ABIS	Macrophages_M2_quantiseq	Macrophages_M2	APC/myeloid	IF_core_4marker_score			0		
ABIS	Macrophages_M2_quantiseq	Macrophages_M2	APC/myeloid	mregDC_extended_score			0		
ABIS	Macrophages_M2_quantiseq	Macrophages_M2	APC/myeloid	TLS_like_score			0		
ABIS	Macrophages_M2_quantiseq	Macrophages_M2	APC/myeloid	Cytotoxic_score			0		
ABIS	Macrophages_M2_quantiseq	Macrophages_M2	APC/myeloid	Checkpoint_score			0		
ABIS	Monocytes_quantiseq	Monocytes	APC/myeloid	IF_core_4marker_score			0		
ABIS	Monocytes_quantiseq	Monocytes	APC/myeloid	mregDC_extended_score			0		
ABIS	Monocytes_quantiseq	Monocytes	APC/myeloid	TLS_like_score			0		
ABIS	Monocytes_quantiseq	Monocytes	APC/myeloid	Cytotoxic_score			0		
ABIS	Monocytes_quantiseq	Monocytes	APC/myeloid	Checkpoint_score			0		
ABIS	Neutrophils_quantiseq	Neutrophils	Granulocyte/mast	IF_core_4marker_score			0		
ABIS	Neutrophils_quantiseq	Neutrophils	Granulocyte/mast	mregDC_extended_score			0		
ABIS	Neutrophils_quantiseq	Neutrophils	Granulocyte/mast	TLS_like_score			0		
ABIS	Neutrophils_quantiseq	Neutrophils	Granulocyte/mast	Cytotoxic_score			0		
ABIS	Neutrophils_quantiseq	Neutrophils	Granulocyte/mast	Checkpoint_score			0		
ABIS	NK_cells_quantiseq	NK_cells	Cytotoxic T/NK	IF_core_4marker_score			0		
ABIS	NK_cells_quantiseq	NK_cells	Cytotoxic T/NK	mregDC_extended_score			0		
ABIS	NK_cells_quantiseq	NK_cells	Cytotoxic T/NK	TLS_like_score			0		
ABIS	NK_cells_quantiseq	NK_cells	Cytotoxic T/NK	Cytotoxic_score			0		
ABIS	NK_cells_quantiseq	NK_cells	Cytotoxic T/NK	Checkpoint_score			0		
ABIS	T_cells_CD4_quantiseq	T_cells_CD4	T cells	IF_core_4marker_score			0		
ABIS	T_cells_CD4_quantiseq	T_cells_CD4	T cells	mregDC_extended_score			0		
ABIS	T_cells_CD4_quantiseq	T_cells_CD4	T cells	TLS_like_score			0		
ABIS	T_cells_CD4_quantiseq	T_cells_CD4	T cells	Cytotoxic_score			0		
ABIS	T_cells_CD4_quantiseq	T_cells_CD4	T cells	Checkpoint_score			0		
ABIS	T_cells_CD8_quantiseq	T_cells_CD8	Cytotoxic T/NK	IF_core_4marker_score			0		
ABIS	T_cells_CD8_quantiseq	T_cells_CD8	Cytotoxic T/NK	mregDC_extended_score			0		
ABIS	T_cells_CD8_quantiseq	T_cells_CD8	Cytotoxic T/NK	TLS_like_score			0		
ABIS	T_cells_CD8_quantiseq	T_cells_CD8	Cytotoxic T/NK	Cytotoxic_score			0		
ABIS	T_cells_CD8_quantiseq	T_cells_CD8	Cytotoxic T/NK	Checkpoint_score			0		
ABIS	Tregs_quantiseq	Tregs	T cells	IF_core_4marker_score			0		
ABIS	Tregs_quantiseq	Tregs	T cells	mregDC_extended_score			0		
ABIS	Tregs_quantiseq	Tregs	T cells	TLS_like_score			0		
ABIS	Tregs_quantiseq	Tregs	T cells	Cytotoxic_score			0		
ABIS	Tregs_quantiseq	Tregs	T cells	Checkpoint_score			0		
ABIS	Dendritic_cells_quantiseq	Dendritic_cells	APC/myeloid	IF_core_4marker_score			0		
ABIS	Dendritic_cells_quantiseq	Dendritic_cells	APC/myeloid	mregDC_extended_score			0		
ABIS	Dendritic_cells_quantiseq	Dendritic_cells	APC/myeloid	TLS_like_score			0		
ABIS	Dendritic_cells_quantiseq	Dendritic_cells	APC/myeloid	Cytotoxic_score			0		
ABIS	Dendritic_cells_quantiseq	Dendritic_cells	APC/myeloid	Checkpoint_score			0		
ABIS	Other_quantiseq	Other	Other	IF_core_4marker_score			0		
ABIS	Other_quantiseq	Other	Other	mregDC_extended_score			0		
ABIS	Other_quantiseq	Other	Other	TLS_like_score			0		
ABIS	Other_quantiseq	Other	Other	Cytotoxic_score			0		
ABIS	Other_quantiseq	Other	Other	Checkpoint_score			0		
ABIS	B_cells_naive_CIBERSORT	B_cells_naive	APC/myeloid	IF_core_4marker_score			0		
ABIS	B_cells_naive_CIBERSORT	B_cells_naive	APC/myeloid	mregDC_extended_score			0		
ABIS	B_cells_naive_CIBERSORT	B_cells_naive	APC/myeloid	TLS_like_score			0		
ABIS	B_cells_naive_CIBERSORT	B_cells_naive	APC/myeloid	Cytotoxic_score			0		
ABIS	B_cells_naive_CIBERSORT	B_cells_naive	APC/myeloid	Checkpoint_score			0		
ABIS	B_cells_memory_CIBERSORT	B_cells_memory	APC/myeloid	IF_core_4marker_score			0		
ABIS	B_cells_memory_CIBERSORT	B_cells_memory	APC/myeloid	mregDC_extended_score			0		
ABIS	B_cells_memory_CIBERSORT	B_cells_memory	APC/myeloid	TLS_like_score			0		
ABIS	B_cells_memory_CIBERSORT	B_cells_memory	APC/myeloid	Cytotoxic_score			0		
ABIS	B_cells_memory_CIBERSORT	B_cells_memory	APC/myeloid	Checkpoint_score			0		
ABIS	Plasma_cells_CIBERSORT	Plasma_cells	B/plasma	IF_core_4marker_score			0		
ABIS	Plasma_cells_CIBERSORT	Plasma_cells	B/plasma	mregDC_extended_score			0		
ABIS	Plasma_cells_CIBERSORT	Plasma_cells	B/plasma	TLS_like_score			0		
ABIS	Plasma_cells_CIBERSORT	Plasma_cells	B/plasma	Cytotoxic_score			0		
ABIS	Plasma_cells_CIBERSORT	Plasma_cells	B/plasma	Checkpoint_score			0		
ABIS	T_cells_CD8_CIBERSORT	T_cells_CD8	Cytotoxic T/NK	IF_core_4marker_score			0		
ABIS	T_cells_CD8_CIBERSORT	T_cells_CD8	Cytotoxic T/NK	mregDC_extended_score			0		
ABIS	T_cells_CD8_CIBERSORT	T_cells_CD8	Cytotoxic T/NK	TLS_like_score			0		
ABIS	T_cells_CD8_CIBERSORT	T_cells_CD8	Cytotoxic T/NK	Cytotoxic_score			0		
ABIS	T_cells_CD8_CIBERSORT	T_cells_CD8	Cytotoxic T/NK	Checkpoint_score			0		
ABIS	T_cells_CD4_naive_CIBERSORT	T_cells_CD4_naive	T cells	IF_core_4marker_score			0		
ABIS	T_cells_CD4_naive_CIBERSORT	T_cells_CD4_naive	T cells	mregDC_extended_score			0		
ABIS	T_cells_CD4_naive_CIBERSORT	T_cells_CD4_naive	T cells	TLS_like_score			0		
ABIS	T_cells_CD4_naive_CIBERSORT	T_cells_CD4_naive	T cells	Cytotoxic_score			0		
ABIS	T_cells_CD4_naive_CIBERSORT	T_cells_CD4_naive	T cells	Checkpoint_score			0		
ABIS	T_cells_CD4_memory_resting_CIBERSORT	T_cells_CD4_memory_resting	T cells	IF_core_4marker_score			0		
ABIS	T_cells_CD4_memory_resting_CIBERSORT	T_cells_CD4_memory_resting	T cells	mregDC_extended_score			0		
ABIS	T_cells_CD4_memory_resting_CIBERSORT	T_cells_CD4_memory_resting	T cells	TLS_like_score			0		
ABIS	T_cells_CD4_memory_resting_CIBERSORT	T_cells_CD4_memory_resting	T cells	Cytotoxic_score			0		
ABIS	T_cells_CD4_memory_resting_CIBERSORT	T_cells_CD4_memory_resting	T cells	Checkpoint_score			0		
ABIS	T_cells_CD4_memory_activated_CIBERSORT	T_cells_CD4_memory_activated	T cells	IF_core_4marker_score			0		
ABIS	T_cells_CD4_memory_activated_CIBERSORT	T_cells_CD4_memory_activated	T cells	mregDC_extended_score			0		
ABIS	T_cells_CD4_memory_activated_CIBERSORT	T_cells_CD4_memory_activated	T cells	TLS_like_score			0		
ABIS	T_cells_CD4_memory_activated_CIBERSORT	T_cells_CD4_memory_activated	T cells	Cytotoxic_score			0		
ABIS	T_cells_CD4_memory_activated_CIBERSORT	T_cells_CD4_memory_activated	T cells	Checkpoint_score			0		
ABIS	T_cells_follicular_helper_CIBERSORT	T_cells_follicular_helper	T cells	IF_core_4marker_score			0		
ABIS	T_cells_follicular_helper_CIBERSORT	T_cells_follicular_helper	T cells	mregDC_extended_score			0		
ABIS	T_cells_follicular_helper_CIBERSORT	T_cells_follicular_helper	T cells	TLS_like_score			0		
ABIS	T_cells_follicular_helper_CIBERSORT	T_cells_follicular_helper	T cells	Cytotoxic_score			0		
ABIS	T_cells_follicular_helper_CIBERSORT	T_cells_follicular_helper	T cells	Checkpoint_score			0		
ABIS	T_cells_regulatory_(Tregs)_CIBERSORT	T_cells_regulatory_(Tregs)	T cells	IF_core_4marker_score			0		
ABIS	T_cells_regulatory_(Tregs)_CIBERSORT	T_cells_regulatory_(Tregs)	T cells	mregDC_extended_score			0		
ABIS	T_cells_regulatory_(Tregs)_CIBERSORT	T_cells_regulatory_(Tregs)	T cells	TLS_like_score			0		
ABIS	T_cells_regulatory_(Tregs)_CIBERSORT	T_cells_regulatory_(Tregs)	T cells	Cytotoxic_score			0		
ABIS	T_cells_regulatory_(Tregs)_CIBERSORT	T_cells_regulatory_(Tregs)	T cells	Checkpoint_score			0		
ABIS	T_cells_gamma_delta_CIBERSORT	T_cells_gamma_delta	T cells	IF_core_4marker_score			0		
ABIS	T_cells_gamma_delta_CIBERSORT	T_cells_gamma_delta	T cells	mregDC_extended_score			0		
ABIS	T_cells_gamma_delta_CIBERSORT	T_cells_gamma_delta	T cells	TLS_like_score			0		
ABIS	T_cells_gamma_delta_CIBERSORT	T_cells_gamma_delta	T cells	Cytotoxic_score			0		
ABIS	T_cells_gamma_delta_CIBERSORT	T_cells_gamma_delta	T cells	Checkpoint_score			0		
ABIS	NK_cells_resting_CIBERSORT	NK_cells_resting	Cytotoxic T/NK	IF_core_4marker_score			0		
ABIS	NK_cells_resting_CIBERSORT	NK_cells_resting	Cytotoxic T/NK	mregDC_extended_score			0		
ABIS	NK_cells_resting_CIBERSORT	NK_cells_resting	Cytotoxic T/NK	TLS_like_score			0		
ABIS	NK_cells_resting_CIBERSORT	NK_cells_resting	Cytotoxic T/NK	Cytotoxic_score			0		
ABIS	NK_cells_resting_CIBERSORT	NK_cells_resting	Cytotoxic T/NK	Checkpoint_score			0		
ABIS	NK_cells_activated_CIBERSORT	NK_cells_activated	Cytotoxic T/NK	IF_core_4marker_score			0		
ABIS	NK_cells_activated_CIBERSORT	NK_cells_activated	Cytotoxic T/NK	mregDC_extended_score			0		
ABIS	NK_cells_activated_CIBERSORT	NK_cells_activated	Cytotoxic T/NK	TLS_like_score			0		
ABIS	NK_cells_activated_CIBERSORT	NK_cells_activated	Cytotoxic T/NK	Cytotoxic_score			0		
ABIS	NK_cells_activated_CIBERSORT	NK_cells_activated	Cytotoxic T/NK	Checkpoint_score			0		
ABIS	Monocytes_CIBERSORT	Monocytes	APC/myeloid	IF_core_4marker_score			0		
ABIS	Monocytes_CIBERSORT	Monocytes	APC/myeloid	mregDC_extended_score			0		
ABIS	Monocytes_CIBERSORT	Monocytes	APC/myeloid	TLS_like_score			0		
ABIS	Monocytes_CIBERSORT	Monocytes	APC/myeloid	Cytotoxic_score			0		
ABIS	Monocytes_CIBERSORT	Monocytes	APC/myeloid	Checkpoint_score			0		
ABIS	Macrophages_M0_CIBERSORT	Macrophages_M0	APC/myeloid	IF_core_4marker_score			0		
ABIS	Macrophages_M0_CIBERSORT	Macrophages_M0	APC/myeloid	mregDC_extended_score			0		
ABIS	Macrophages_M0_CIBERSORT	Macrophages_M0	APC/myeloid	TLS_like_score			0		
ABIS	Macrophages_M0_CIBERSORT	Macrophages_M0	APC/myeloid	Cytotoxic_score			0		
ABIS	Macrophages_M0_CIBERSORT	Macrophages_M0	APC/myeloid	Checkpoint_score			0		
ABIS	Macrophages_M1_CIBERSORT	Macrophages_M1	APC/myeloid	IF_core_4marker_score			0		
ABIS	Macrophages_M1_CIBERSORT	Macrophages_M1	APC/myeloid	mregDC_extended_score			0		
ABIS	Macrophages_M1_CIBERSORT	Macrophages_M1	APC/myeloid	TLS_like_score			0		
ABIS	Macrophages_M1_CIBERSORT	Macrophages_M1	APC/myeloid	Cytotoxic_score			0		
ABIS	Macrophages_M1_CIBERSORT	Macrophages_M1	APC/myeloid	Checkpoint_score			0		
ABIS	Macrophages_M2_CIBERSORT	Macrophages_M2	APC/myeloid	IF_core_4marker_score			0		
ABIS	Macrophages_M2_CIBERSORT	Macrophages_M2	APC/myeloid	mregDC_extended_score			0		
ABIS	Macrophages_M2_CIBERSORT	Macrophages_M2	APC/myeloid	TLS_like_score			0		
ABIS	Macrophages_M2_CIBERSORT	Macrophages_M2	APC/myeloid	Cytotoxic_score			0		
ABIS	Macrophages_M2_CIBERSORT	Macrophages_M2	APC/myeloid	Checkpoint_score			0		
ABIS	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_resting	APC/myeloid	IF_core_4marker_score			0		
ABIS	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_resting	APC/myeloid	mregDC_extended_score			0		
ABIS	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_resting	APC/myeloid	TLS_like_score			0		
ABIS	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_resting	APC/myeloid	Cytotoxic_score			0		
ABIS	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_resting	APC/myeloid	Checkpoint_score			0		
ABIS	Dendritic_cells_activated_CIBERSORT	Dendritic_cells_activated	APC/myeloid	IF_core_4marker_score			0		
ABIS	Dendritic_cells_activated_CIBERSORT	Dendritic_cells_activated	APC/myeloid	mregDC_extended_score			0		
ABIS	Dendritic_cells_activated_CIBERSORT	Dendritic_cells_activated	APC/myeloid	TLS_like_score			0		
ABIS	Dendritic_cells_activated_CIBERSORT	Dendritic_cells_activated	APC/myeloid	Cytotoxic_score			0		
ABIS	Dendritic_cells_activated_CIBERSORT	Dendritic_cells_activated	APC/myeloid	Checkpoint_score			0		
ABIS	Mast_cells_resting_CIBERSORT	Mast_cells_resting	T cells	IF_core_4marker_score			0		
ABIS	Mast_cells_resting_CIBERSORT	Mast_cells_resting	T cells	mregDC_extended_score			0		
ABIS	Mast_cells_resting_CIBERSORT	Mast_cells_resting	T cells	TLS_like_score			0		
ABIS	Mast_cells_resting_CIBERSORT	Mast_cells_resting	T cells	Cytotoxic_score			0		
ABIS	Mast_cells_resting_CIBERSORT	Mast_cells_resting	T cells	Checkpoint_score			0		
ABIS	Mast_cells_activated_CIBERSORT	Mast_cells_activated	T cells	IF_core_4marker_score			0		
ABIS	Mast_cells_activated_CIBERSORT	Mast_cells_activated	T cells	mregDC_extended_score			0		
ABIS	Mast_cells_activated_CIBERSORT	Mast_cells_activated	T cells	TLS_like_score			0		
ABIS	Mast_cells_activated_CIBERSORT	Mast_cells_activated	T cells	Cytotoxic_score			0		
ABIS	Mast_cells_activated_CIBERSORT	Mast_cells_activated	T cells	Checkpoint_score			0		
ABIS	Eosinophils_CIBERSORT	Eosinophils	Granulocyte/mast	IF_core_4marker_score			0		
ABIS	Eosinophils_CIBERSORT	Eosinophils	Granulocyte/mast	mregDC_extended_score			0		
ABIS	Eosinophils_CIBERSORT	Eosinophils	Granulocyte/mast	TLS_like_score			0		
ABIS	Eosinophils_CIBERSORT	Eosinophils	Granulocyte/mast	Cytotoxic_score			0		
ABIS	Eosinophils_CIBERSORT	Eosinophils	Granulocyte/mast	Checkpoint_score			0		
ABIS	Neutrophils_CIBERSORT	Neutrophils	Granulocyte/mast	IF_core_4marker_score			0		
ABIS	Neutrophils_CIBERSORT	Neutrophils	Granulocyte/mast	mregDC_extended_score			0		
ABIS	Neutrophils_CIBERSORT	Neutrophils	Granulocyte/mast	TLS_like_score			0		
ABIS	Neutrophils_CIBERSORT	Neutrophils	Granulocyte/mast	Cytotoxic_score			0		
ABIS	Neutrophils_CIBERSORT	Neutrophils	Granulocyte/mast	Checkpoint_score			0		
ABIS	P-value_CIBERSORT	P-value	Other	IF_core_4marker_score			0		
ABIS	P-value_CIBERSORT	P-value	Other	mregDC_extended_score			0		
ABIS	P-value_CIBERSORT	P-value	Other	TLS_like_score			0		
ABIS	P-value_CIBERSORT	P-value	Other	Cytotoxic_score			0		
ABIS	P-value_CIBERSORT	P-value	Other	Checkpoint_score			0		
ABIS	Correlation_CIBERSORT	Correlation	Other	IF_core_4marker_score			0		
ABIS	Correlation_CIBERSORT	Correlation	Other	mregDC_extended_score			0		
ABIS	Correlation_CIBERSORT	Correlation	Other	TLS_like_score			0		
ABIS	Correlation_CIBERSORT	Correlation	Other	Cytotoxic_score			0		
ABIS	Correlation_CIBERSORT	Correlation	Other	Checkpoint_score			0		
ABIS	RMSE_CIBERSORT	RMSE	Other	IF_core_4marker_score			0		
ABIS	RMSE_CIBERSORT	RMSE	Other	mregDC_extended_score			0		
ABIS	RMSE_CIBERSORT	RMSE	Other	TLS_like_score			0		
ABIS	RMSE_CIBERSORT	RMSE	Other	Cytotoxic_score			0		
ABIS	RMSE_CIBERSORT	RMSE	Other	Checkpoint_score			0		
ABIS	Absolute_score_(sig_score)_CIBERSORT	Absolute_score_(sig_score)	Global score	IF_core_4marker_score			0		
ABIS	Absolute_score_(sig_score)_CIBERSORT	Absolute_score_(sig_score)	Global score	mregDC_extended_score			0		
ABIS	Absolute_score_(sig_score)_CIBERSORT	Absolute_score_(sig_score)	Global score	TLS_like_score			0		
ABIS	Absolute_score_(sig_score)_CIBERSORT	Absolute_score_(sig_score)	Global score	Cytotoxic_score			0		
ABIS	Absolute_score_(sig_score)_CIBERSORT	Absolute_score_(sig_score)	Global score	Checkpoint_score			0		
ABIS	T_cells_MCPcounter	T_cells	T cells	IF_core_4marker_score			0		
ABIS	T_cells_MCPcounter	T_cells	T cells	mregDC_extended_score			0		
ABIS	T_cells_MCPcounter	T_cells	T cells	TLS_like_score			0		
ABIS	T_cells_MCPcounter	T_cells	T cells	Cytotoxic_score			0		
ABIS	T_cells_MCPcounter	T_cells	T cells	Checkpoint_score			0		
ABIS	CD8_T_cells_MCPcounter	CD8_T_cells	Cytotoxic T/NK	IF_core_4marker_score			0		
ABIS	CD8_T_cells_MCPcounter	CD8_T_cells	Cytotoxic T/NK	mregDC_extended_score			0		
ABIS	CD8_T_cells_MCPcounter	CD8_T_cells	Cytotoxic T/NK	TLS_like_score			0		
ABIS	CD8_T_cells_MCPcounter	CD8_T_cells	Cytotoxic T/NK	Cytotoxic_score			0		
ABIS	CD8_T_cells_MCPcounter	CD8_T_cells	Cytotoxic T/NK	Checkpoint_score			0		
ABIS	Cytotoxic_lymphocytes_MCPcounter	Cytotoxic_lymphocytes	Cytotoxic T/NK	IF_core_4marker_score			0		
ABIS	Cytotoxic_lymphocytes_MCPcounter	Cytotoxic_lymphocytes	Cytotoxic T/NK	mregDC_extended_score			0		
ABIS	Cytotoxic_lymphocytes_MCPcounter	Cytotoxic_lymphocytes	Cytotoxic T/NK	TLS_like_score			0		
ABIS	Cytotoxic_lymphocytes_MCPcounter	Cytotoxic_lymphocytes	Cytotoxic T/NK	Cytotoxic_score			0		
ABIS	Cytotoxic_lymphocytes_MCPcounter	Cytotoxic_lymphocytes	Cytotoxic T/NK	Checkpoint_score			0		
ABIS	B_lineage_MCPcounter	B_lineage	Other	IF_core_4marker_score			0		
ABIS	B_lineage_MCPcounter	B_lineage	Other	mregDC_extended_score			0		
ABIS	B_lineage_MCPcounter	B_lineage	Other	TLS_like_score			0		
ABIS	B_lineage_MCPcounter	B_lineage	Other	Cytotoxic_score			0		
ABIS	B_lineage_MCPcounter	B_lineage	Other	Checkpoint_score			0		
ABIS	NK_cells_MCPcounter	NK_cells	Cytotoxic T/NK	IF_core_4marker_score			0		
ABIS	NK_cells_MCPcounter	NK_cells	Cytotoxic T/NK	mregDC_extended_score			0		
ABIS	NK_cells_MCPcounter	NK_cells	Cytotoxic T/NK	TLS_like_score			0		
ABIS	NK_cells_MCPcounter	NK_cells	Cytotoxic T/NK	Cytotoxic_score			0		
ABIS	NK_cells_MCPcounter	NK_cells	Cytotoxic T/NK	Checkpoint_score			0		
ABIS	Monocytic_lineage_MCPcounter	Monocytic_lineage	Other	IF_core_4marker_score			0		
ABIS	Monocytic_lineage_MCPcounter	Monocytic_lineage	Other	mregDC_extended_score			0		
ABIS	Monocytic_lineage_MCPcounter	Monocytic_lineage	Other	TLS_like_score			0		
ABIS	Monocytic_lineage_MCPcounter	Monocytic_lineage	Other	Cytotoxic_score			0		
ABIS	Monocytic_lineage_MCPcounter	Monocytic_lineage	Other	Checkpoint_score			0		
ABIS	Myeloid_dendritic_cells_MCPcounter	Myeloid_dendritic_cells	APC/myeloid	IF_core_4marker_score			0		
ABIS	Myeloid_dendritic_cells_MCPcounter	Myeloid_dendritic_cells	APC/myeloid	mregDC_extended_score			0		
ABIS	Myeloid_dendritic_cells_MCPcounter	Myeloid_dendritic_cells	APC/myeloid	TLS_like_score			0		
ABIS	Myeloid_dendritic_cells_MCPcounter	Myeloid_dendritic_cells	APC/myeloid	Cytotoxic_score			0		
ABIS	Myeloid_dendritic_cells_MCPcounter	Myeloid_dendritic_cells	APC/myeloid	Checkpoint_score			0		
ABIS	Neutrophils_MCPcounter	Neutrophils	Granulocyte/mast	IF_core_4marker_score			0		
ABIS	Neutrophils_MCPcounter	Neutrophils	Granulocyte/mast	mregDC_extended_score			0		
ABIS	Neutrophils_MCPcounter	Neutrophils	Granulocyte/mast	TLS_like_score			0		
ABIS	Neutrophils_MCPcounter	Neutrophils	Granulocyte/mast	Cytotoxic_score			0		
ABIS	Neutrophils_MCPcounter	Neutrophils	Granulocyte/mast	Checkpoint_score			0		
ABIS	Endothelial_cells_MCPcounter	Endothelial_cells	Stromal	IF_core_4marker_score			0		
ABIS	Endothelial_cells_MCPcounter	Endothelial_cells	Stromal	mregDC_extended_score			0		
ABIS	Endothelial_cells_MCPcounter	Endothelial_cells	Stromal	TLS_like_score			0		
ABIS	Endothelial_cells_MCPcounter	Endothelial_cells	Stromal	Cytotoxic_score			0		
ABIS	Endothelial_cells_MCPcounter	Endothelial_cells	Stromal	Checkpoint_score			0		
ABIS	Fibroblasts_MCPcounter	Fibroblasts	Stromal	IF_core_4marker_score			0		
ABIS	Fibroblasts_MCPcounter	Fibroblasts	Stromal	mregDC_extended_score			0		
ABIS	Fibroblasts_MCPcounter	Fibroblasts	Stromal	TLS_like_score			0		
ABIS	Fibroblasts_MCPcounter	Fibroblasts	Stromal	Cytotoxic_score			0		
ABIS	Fibroblasts_MCPcounter	Fibroblasts	Stromal	Checkpoint_score			0		
ABIS	aDC_xCell	aDC	Other	IF_core_4marker_score			0		
ABIS	aDC_xCell	aDC	Other	mregDC_extended_score			0		
ABIS	aDC_xCell	aDC	Other	TLS_like_score			0		
ABIS	aDC_xCell	aDC	Other	Cytotoxic_score			0		
ABIS	aDC_xCell	aDC	Other	Checkpoint_score			0		
ABIS	Adipocytes_xCell	Adipocytes	Other	IF_core_4marker_score			0		
ABIS	Adipocytes_xCell	Adipocytes	Other	mregDC_extended_score			0		
ABIS	Adipocytes_xCell	Adipocytes	Other	TLS_like_score			0		
ABIS	Adipocytes_xCell	Adipocytes	Other	Cytotoxic_score			0		
ABIS	Adipocytes_xCell	Adipocytes	Other	Checkpoint_score			0		
ABIS	Astrocytes_xCell	Astrocytes	Other	IF_core_4marker_score			0		
ABIS	Astrocytes_xCell	Astrocytes	Other	mregDC_extended_score			0		
ABIS	Astrocytes_xCell	Astrocytes	Other	TLS_like_score			0		
ABIS	Astrocytes_xCell	Astrocytes	Other	Cytotoxic_score			0		
ABIS	Astrocytes_xCell	Astrocytes	Other	Checkpoint_score			0		
ABIS	B-cells_xCell	B-cells	B/plasma	IF_core_4marker_score			0		
ABIS	B-cells_xCell	B-cells	B/plasma	mregDC_extended_score			0		
ABIS	B-cells_xCell	B-cells	B/plasma	TLS_like_score			0		
ABIS	B-cells_xCell	B-cells	B/plasma	Cytotoxic_score			0		
ABIS	B-cells_xCell	B-cells	B/plasma	Checkpoint_score			0		
ABIS	Basophils_xCell	Basophils	Other	IF_core_4marker_score			0		
ABIS	Basophils_xCell	Basophils	Other	mregDC_extended_score			0		
ABIS	Basophils_xCell	Basophils	Other	TLS_like_score			0		
ABIS	Basophils_xCell	Basophils	Other	Cytotoxic_score			0		
ABIS	Basophils_xCell	Basophils	Other	Checkpoint_score			0		
ABIS	CD4+_memory_T-cells_xCell	CD4+_memory_T-cells	T cells	IF_core_4marker_score			0		
ABIS	CD4+_memory_T-cells_xCell	CD4+_memory_T-cells	T cells	mregDC_extended_score			0		
ABIS	CD4+_memory_T-cells_xCell	CD4+_memory_T-cells	T cells	TLS_like_score			0		
ABIS	CD4+_memory_T-cells_xCell	CD4+_memory_T-cells	T cells	Cytotoxic_score			0		
ABIS	CD4+_memory_T-cells_xCell	CD4+_memory_T-cells	T cells	Checkpoint_score			0		
ABIS	CD4+_naive_T-cells_xCell	CD4+_naive_T-cells	T cells	IF_core_4marker_score			0		
ABIS	CD4+_naive_T-cells_xCell	CD4+_naive_T-cells	T cells	mregDC_extended_score			0		
ABIS	CD4+_naive_T-cells_xCell	CD4+_naive_T-cells	T cells	TLS_like_score			0		
ABIS	CD4+_naive_T-cells_xCell	CD4+_naive_T-cells	T cells	Cytotoxic_score			0		
ABIS	CD4+_naive_T-cells_xCell	CD4+_naive_T-cells	T cells	Checkpoint_score			0		
ABIS	CD4+_T-cells_xCell	CD4+_T-cells	T cells	IF_core_4marker_score			0		
ABIS	CD4+_T-cells_xCell	CD4+_T-cells	T cells	mregDC_extended_score			0		
ABIS	CD4+_T-cells_xCell	CD4+_T-cells	T cells	TLS_like_score			0		
ABIS	CD4+_T-cells_xCell	CD4+_T-cells	T cells	Cytotoxic_score			0		
ABIS	CD4+_T-cells_xCell	CD4+_T-cells	T cells	Checkpoint_score			0		
ABIS	CD4+_Tcm_xCell	CD4+_Tcm	T cells	IF_core_4marker_score			0		
ABIS	CD4+_Tcm_xCell	CD4+_Tcm	T cells	mregDC_extended_score			0		
ABIS	CD4+_Tcm_xCell	CD4+_Tcm	T cells	TLS_like_score			0		
ABIS	CD4+_Tcm_xCell	CD4+_Tcm	T cells	Cytotoxic_score			0		
ABIS	CD4+_Tcm_xCell	CD4+_Tcm	T cells	Checkpoint_score			0		
ABIS	CD4+_Tem_xCell	CD4+_Tem	T cells	IF_core_4marker_score			0		
ABIS	CD4+_Tem_xCell	CD4+_Tem	T cells	mregDC_extended_score			0		
ABIS	CD4+_Tem_xCell	CD4+_Tem	T cells	TLS_like_score			0		
ABIS	CD4+_Tem_xCell	CD4+_Tem	T cells	Cytotoxic_score			0		
ABIS	CD4+_Tem_xCell	CD4+_Tem	T cells	Checkpoint_score			0		
ABIS	CD8+_naive_T-cells_xCell	CD8+_naive_T-cells	Cytotoxic T/NK	IF_core_4marker_score			0		
ABIS	CD8+_naive_T-cells_xCell	CD8+_naive_T-cells	Cytotoxic T/NK	mregDC_extended_score			0		
